1|BÀI 6|1
2|Amazing bodies|0
3|First responders|0
4|More than human?|0
5|TED Talk - Deep sea diving… in a wheelchair|0
6|Physical challenge|0
7|BÀI 7|1
8|Money and me|0
9|Services in town|0
10|Waste not, want not|0
11|TED Talk - Grow your own clothes|0
12|Buying and selling|0
13|BÀI 8|1
14|Getting your message out|0
15|Ask me anything|0
16|Intercultural Communication|0
17|TED Talk - 10 ways to have a better conversation|0
18|I hear what you're saying|0
19|BÀI 9|1
20|Entertain me|0
21|A bit of culture|0
22|Fast art, big art|0
23|TED Talk - The world’s most boring television and why it’s hilariously addictive|0
24|Well-worth seeing|0
25|BÀI 10|1
26|Spend your time wisely|0
27|Plenty of time|0
28|The man who mastered time|0
29|TED Talk - Inside the man of a master procrastinator|0
30|Milestones|0